[Header]\r\n[Footer]\r\n[Header]\r\n[Footer]\r\n[Header]\r\n2013-12-11 15:13:30,588 [11] DEBUG BWCMAPI.Global api request = /yada
2013-12-11 20:57:26,312 [9] DEBUG BWCMAPI.Global Scala.loadData: System.Net.WebException: The request failed with HTTP status 401: Unauthorized.
   at System.Web.Services.Protocols.SoapHttpClientProtocol.ReadResponse(SoapClientMessage message, WebResponse response, Stream responseStream, Boolean asyncCall)
   at System.Web.Services.Protocols.SoapHttpClientProtocol.Invoke(String methodName, Object[] parameters)
   at ScalaWS.Playlist.playlistService.listCategories(searchCriteriaTO[] searchCriteria, listResultCriteriaTO listResult) in C:\Zenith\Experiments\Scala\ScalaWS\playlistService.cs:line 2055
   at BWCMAPI.Scala.loadData() in C:\Zenith\Baldwin Wallace\Scala\BWCM\BWCMAPI\Scala.cs:line 47
2013-12-11 20:57:26,312 [9] DEBUG BWCMAPI.Global end Scala.loadData
2013-12-11 20:57:26,333 [9] DEBUG BWCMAPI.Global api request = /players
2013-12-11 20:57:49,033 [13] DEBUG BWCMAPI.Global shutting down
2013-12-11 20:57:56,686 [19] DEBUG BWCMAPI.Global startup
2013-12-11 20:57:56,694 [19] DEBUG BWCMAPI.Global user name = redshirt
2013-12-11 20:57:56,694 [19] DEBUG BWCMAPI.Global user name = newby
2013-12-11 20:57:57,447 [19] DEBUG BWCMAPI.Global Scala.loadData
2013-12-11 20:57:57,520 [19] DEBUG BWCMAPI.Global Scala.loadData: System.Net.WebException: The request failed with HTTP status 401: Unauthorized.
   at System.Web.Services.Protocols.SoapHttpClientProtocol.ReadResponse(SoapClientMessage message, WebResponse response, Stream responseStream, Boolean asyncCall)
   at System.Web.Services.Protocols.SoapHttpClientProtocol.Invoke(String methodName, Object[] parameters)
   at ScalaWS.Playlist.playlistService.listCategories(searchCriteriaTO[] searchCriteria, listResultCriteriaTO listResult) in C:\Zenith\Experiments\Scala\ScalaWS\playlistService.cs:line 2055
   at BWCMAPI.Scala.loadData() in C:\Zenith\Baldwin Wallace\Scala\BWCM\BWCMAPI\Scala.cs:line 47
2013-12-11 20:57:57,520 [19] DEBUG BWCMAPI.Global end Scala.loadData
2013-12-11 20:57:57,692 [19] DEBUG BWCMAPI.Global api request = /players
2013-12-11 20:58:36,589 [4] DEBUG BWCMAPI.Global shutting down
2013-12-11 20:58:42,067 [12] DEBUG BWCMAPI.Global startup
2013-12-11 20:58:42,075 [12] DEBUG BWCMAPI.Global user name = redshirt
2013-12-11 20:58:42,075 [12] DEBUG BWCMAPI.Global user name = newby
2013-12-11 20:58:42,839 [12] DEBUG BWCMAPI.Global Scala.loadData
2013-12-11 20:58:42,894 [12] DEBUG BWCMAPI.Global Scala.loadData: System.Net.WebException: The request failed with HTTP status 401: Unauthorized.
   at System.Web.Services.Protocols.SoapHttpClientProtocol.ReadResponse(SoapClientMessage message, WebResponse response, Stream responseStream, Boolean asyncCall)
   at System.Web.Services.Protocols.SoapHttpClientProtocol.Invoke(String methodName, Object[] parameters)
   at ScalaWS.Playlist.playlistService.listCategories(searchCriteriaTO[] searchCriteria, listResultCriteriaTO listResult) in C:\Zenith\Experiments\Scala\ScalaWS\playlistService.cs:line 2055
   at BWCMAPI.Scala.loadData() in C:\Zenith\Baldwin Wallace\Scala\BWCM\BWCMAPI\Scala.cs:line 47
2013-12-11 20:58:42,894 [12] DEBUG BWCMAPI.Global end Scala.loadData
